# psi_n	Te [eV]	ne [m^-3]	 0+	1+	...
7.989949748743719882e-01	1.903359999999998990e+02	3.440005119999999219e+13	5.511181539225921666e-12	7.553107579172564554e-06	9.999924468869100247e-01
8.069849246231156625e-01	1.797839468953600885e+02	3.304472824371950781e+13	6.578137869524482039e-12	8.190220684358993759e-06	9.999918097727376054e-01
8.149748743718593369e-01	1.695165667737600756e+02	3.168903797641092188e+13	7.890813669607052289e-12	8.913169087509289408e-06	9.999910868230218464e-01
8.229648241206031223e-01	1.595454339481600528e+02	3.033583549380433594e+13	9.601978935703565697e-12	9.735803972178542299e-06	9.999902641864257813e-01
8.309547738693467966e-01	1.498822367641600408e+02	2.898817573405491797e+13	1.173012150651502330e-11	1.067345001509048007e-05	9.999893265382550078e-01
8.389447236180905820e-01	1.405387776000000599e+02	2.764932197757747266e+13	1.450176647151802471e-11	1.174601521463402723e-05	9.999882539702837914e-01
8.469346733668342564e-01	1.315269728665600155e+02	2.632275459807162109e+13	1.808864269338111147e-11	1.298742012281198811e-05	9.999870125617890126e-01
8.549246231155779308e-01	1.228588530073600964e+02	2.501218006963850000e+13	2.281203034146244987e-11	1.443874140036712755e-05	9.999855612357880785e-01
8.629145728643217161e-01	1.145465624985600357e+02	2.372154023493718750e+13	2.911249735966870646e-11	1.614603393228721779e-05	9.999838539369556578e-01
8.709045226130653905e-01	1.066023598489600346e+02	2.245502183937687500e+13	3.753443405573701207e-11	1.816032318381201696e-05	9.999818396392821107e-01
8.788944723618091759e-01	9.903861760000000913e+01	2.121706633638707031e+13	4.872687739977576598e-11	2.053701397768219804e-05	9.999794629372955601e-01
8.868844221105528502e-01	9.186782232575998819e+01	2.001237996885692578e+13	6.382645657493763337e-11	2.335004101560074485e-05	9.999766498951579985e-01
8.948743718592966356e-01	8.510257463295995706e+01	1.884594413188086328e+13	8.438300984718937058e-11	2.671823237625365669e-05	9.999732816832408444e-01
9.028643216080403100e-01	7.875558916095997120e+01	1.772302602199581250e+13	1.122727584523466191e-10	3.076872188155855886e-05	9.999692311658457955e-01
9.108542713567839844e-01	7.283969458176007095e+01	1.664918957814231836e+13	1.501019773672014242e-10	3.562206132287468766e-05	9.999643777885750540e-01
9.188442211055277697e-01	6.736783359999998311e+01	1.563030671962930664e+13	2.005786050552458256e-10	4.138351146562684317e-05	9.999586162879557927e-01
9.268341708542714441e-01	6.235306295296005175e+01	1.467256888642980273e+13	2.681342667334262070e-10	4.819912075457068716e-05	9.999518006111112189e-01
9.348241206030152295e-01	5.780855341055997343e+01	1.378249888718151562e+13	3.571379409295874792e-10	5.623948063097869600e-05	9.999437601622310767e-01
9.428140703517589039e-01	5.374758977536001936e+01	1.296696306031491406e+13	4.729362242409740641e-10	6.558148529183114239e-05	9.999344180417719663e-01
9.508040201005025782e-01	5.018357088256002640e+01	1.223318375377703320e+13	6.186491258968593699e-10	7.613351083403468403e-05	9.999238658705169591e-01
9.587939698492463636e-01	4.713000960000000816e+01	1.158875212886835547e+13	7.937664051004827489e-10	8.759793991706968049e-05	9.999124012663167527e-01
9.667839195979900380e-01	4.460053282816000575e+01	1.104164129375604883e+13	9.917163613614001996e-10	9.951264479550047271e-05	9.999004863634880502e-01
9.747738693467338233e-01	4.260888150016000253e+01	1.060021977227503320e+13	1.197355178149426491e-09	1.110096276058847499e-04	9.998889891750391001e-01
9.827638190954774977e-01	4.116891058176000229e+01	1.027326531367540039e+13	1.382831731133888145e-09	1.208188805474891660e-04	9.998791797366206602e-01
9.907537688442211721e-01	4.029458907136000789e+01	1.006997904902207031e+13	1.514537052919626114e-09	1.275145467763233410e-04	9.998724839386867735e-01
9.987437185929649575e-01	4.000000000000000000e+01	1.000000000000000000e+13	1.563399743317078089e-09	1.299121045605628843e-04	9.998700863320399979e-01
1.006733668341708743e+00	4.000000000000000000e+01	1.000000000000000000e+13	1.563399743317078089e-09	1.299121045605628843e-04	9.998700863320399979e-01
1.014723618090452417e+00	3.409260365462674258e+01	7.264410149696681641e+12	3.341938187095759918e-09	2.004104421338614105e-04	9.997995862159279046e-01
1.022713567839196092e+00	2.905764059878672612e+01	5.277165482301617188e+12	7.302478946846979692e-09	3.196367303524923925e-04	9.996803559671683104e-01
1.030703517587939766e+00	2.476626560182567260e+01	3.833549449126084473e+12	1.635087397692620859e-08	5.301852684478124481e-04	9.994697983806781760e-01
1.038693467336683440e+00	2.110866192920646611e+01	2.784847552759565430e+12	3.880618633793944119e-08	9.391802603486145914e-04	9.990607809334647316e-01
1.046683417085427337e+00	1.799123112079854181e+01	2.023027482762436768e+12	9.683457513941283522e-08	1.770192367141924794e-03	9.982297107982828210e-01
1.054673366834171011e+00	1.533419779650427017e+01	1.469610137889477539e+12	2.566478856736556421e-07	3.597651727944641952e-03	9.964020916241697057e-01
1.062663316582914685e+00	1.306956819594677199e+01	1.067585080178146118e+12	7.352969157404883844e-07	7.975440241430658758e-03	9.920238244616534917e-01
1.070653266331658360e+00	1.113939021103821148e+01	7.755375892110869141e+11	2.380265160768901501e-06	1.972443664244576816e-02	9.802731830923933076e-01
1.078643216080402034e+00	9.494270385478868590e+00	5.633823134536315918e+11	8.579721324874974923e-06	5.319096413153028002e-02	9.468004561471446978e-01
1.086633165829145931e+00	8.092109931049748184e+00	4.092640196012122803e+11	3.489159153475226077e-05	1.529442263860335272e-01	8.470208820224316426e-01
1.094623115577889605e+00	6.897027415223701219e+00	2.973061697896707764e+11	1.495762790977960954e-04	4.140661877509195232e-01	5.857842359699826362e-01
1.102613065326633279e+00	5.878440551557910787e+00	2.159753957387529297e+11	4.986299280188323524e-04	7.710449470554340268e-01	2.284564230165469778e-01
1.110603015075376954e+00	5.010283595788732391e+00	1.568933856889354248e+11	1.249625967995283624e-03	9.508082522829774952e-01	4.794212174902707374e-02
1.118592964824120628e+00	4.270340320712584514e+00	1.139737903418978729e+11	3.024315464301809316e-03	9.902245010682886317e-01	6.751183467409335205e-03
1.126582914572864524e+00	3.639675500610628944e+00	8.279523593590771484e+10	8.597971820385227892e-03	9.908084749266082847e-01	5.935532530062886903e-04
1.134572864321608199e+00	3.102150356844334489e+00	6.014585522793393707e+10	2.915665701570484269e-02	9.708056570605111402e-01	3.768592378380544180e-05
1.142562814070351873e+00	2.644009564823820213e+00	4.369241611799905396e+10	1.098149555105818603e-01	8.901937127188137566e-01	-8.668229395584334447e-06
1.150552763819095548e+00	2.253529253814516409e+00	3.173996311123631668e+10	3.973093150385628713e-01	6.026879469769247377e-01	2.737984512355029220e-06
1.158542713567839222e+00	1.920716991860127010e+00	2.305721101762633896e+10	8.240746941614083276e-01	1.759287542227402357e-01	-3.448384148472394488e-06
1.166532663316583118e+00	1.637056078404849124e+00	1.674970377401414299e+10	9.786385124443294226e-01	2.138037867305724732e-02	-1.889111738656572783e-05
1.174522613065326793e+00	1.395287601036352187e+00	1.216767181003611755e+10	9.984004809062990704e-01	1.593641907172038035e-03	5.877186529335066728e-06
1.182512562814070467e+00	1.189224679158683129e+00	8.839095859500453949e+09	9.999823132974252626e-01	2.288428567787103451e-05	-5.197583102800606980e-06
1.190502512562814141e+00	1.013594141071441079e+00	6.421081767589702606e+09	9.999995133725119167e-01	6.323693352572321672e-07	-1.457418467298853587e-07
1.198492462311557816e+00	8.639015829550117376e-01	4.664537156451093674e+09	9.999999917448211262e-01	1.077003483618276861e-08	-2.514855518276348789e-09
1.206482412060301712e+00	7.363163566072433719e-01	3.388511106296032906e+09	9.999999999415157825e-01	7.660094780703727481e-11	-1.811639727122838909e-11
1.214472361809045386e+00	6.275735427557389556e-01	2.461553447293683529e+09	9.999999999998379074e-01	2.137179322403425835e-13	-5.140332604014473520e-14
1.222462311557789061e+00	5.348904014325340794e-01	1.788173384654108763e+09	1.000000000000000222e+00	2.498001805406601230e-16	-2.775557561562892584e-17
1.230452261306532735e+00	4.558951613675893966e-01	1.299002488489877462e+09	1.000000000000000444e+00	-8.326672684688671588e-17	-2.775557561562891043e-17
1.238442211055276410e+00	3.885663261141832914e-01	9.436486861867113113e+08	1.000000000000000000e+00	1.942890293094023206e-16	2.498001805406601723e-16
1.246432160804020306e+00	3.311809437436308290e-01	6.855051093682622910e+08	1.000000000000000222e+00	-5.551115123125783935e-17	1.665334536937734564e-16
1.254422110552763980e+00	2.822705163254211058e-01	4.979790274163738489e+08	1.000000000000000222e+00	8.326672684688671588e-17	2.775557561562891043e-17
1.262412060301507655e+00	2.405834209117357625e-01	3.617523901099588871e+08	1.000000000000000000e+00	1.110223024625156047e-16	1.110223024625156417e-16
1.270402010050251329e+00	2.050528803754511908e-01	2.627917734391818643e+08	1.000000000000000222e+00	5.551115123125777155e-17	1.665334536937734564e-16
