# R [m]	 Z [m]
6.060200668896320586e-01	8.963210702341140035e-02
6.076923076923077538e-01	9.230769230769231282e-02
6.093645484949832269e-01	9.498327759197328080e-02
6.110367892976589221e-01	9.765886287625419326e-02
6.127090301003343953e-01	1.003344481605351612e-01
6.143812709030100905e-01	1.030100334448160737e-01
6.160535117056855636e-01	1.056856187290969862e-01
6.177257525083612588e-01	1.083612040133780097e-01
6.193979933110367320e-01	1.110367892976589221e-01
6.210702341137124272e-01	1.137123745819398346e-01
6.227424749163879003e-01	1.163879598662207471e-01
6.244147157190635955e-01	1.190635451505016595e-01
6.260869565217390686e-01	1.217391304347826830e-01
6.277591973244147638e-01	1.244147157190635955e-01
6.294314381270902370e-01	1.270903010033445080e-01
6.311036789297659322e-01	1.297658862876254204e-01
6.327759197324414053e-01	1.324414715719064439e-01
6.344481605351171005e-01	1.351170568561873564e-01
6.361204013377925737e-01	1.377926421404682689e-01
6.377926421404682689e-01	1.404682274247491813e-01
6.394648829431437420e-01	1.431438127090300938e-01
6.411371237458194372e-01	1.458193979933111173e-01
6.428093645484949104e-01	1.484949832775920298e-01
6.444816053511706055e-01	1.511705685618729422e-01
6.461538461538460787e-01	1.538461538461538547e-01
6.478260869565217739e-01	1.565217391304348782e-01
6.494983277591972470e-01	1.591973244147157907e-01
6.511705685618729422e-01	1.618729096989967031e-01
6.528428093645484154e-01	1.645484949832776156e-01
6.545150501672241106e-01	1.672240802675585281e-01
6.561872909698995837e-01	1.698996655518395515e-01
6.578595317725752789e-01	1.725752508361204640e-01
6.595317725752507521e-01	1.752508361204013765e-01
6.612040133779264472e-01	1.779264214046822890e-01
6.628762541806019204e-01	1.806020066889632014e-01
6.645484949832776156e-01	1.832775919732442249e-01
6.662207357859530887e-01	1.859531772575251374e-01
6.678929765886287839e-01	1.886287625418060498e-01
6.695652173913042571e-01	1.913043478260869623e-01
6.712374581939799523e-01	1.939799331103679858e-01
6.729096989966554254e-01	1.966555183946488983e-01
6.745819397993311206e-01	1.993311036789298107e-01
6.762541806020065938e-01	2.020066889632107232e-01
6.779264214046822890e-01	2.046822742474916357e-01
6.795986622073577621e-01	2.073578595317726592e-01
6.812709030100334573e-01	2.100334448160535716e-01
6.829431438127089304e-01	2.127090301003344841e-01
6.846153846153846256e-01	2.153846153846153966e-01
6.862876254180602098e-01	2.180602006688964201e-01
6.879598662207357940e-01	2.207357859531773325e-01
6.896321070234113781e-01	2.234113712374582450e-01
6.913043478260869623e-01	2.260869565217391575e-01
6.929765886287625465e-01	2.287625418060200699e-01
6.946488294314381307e-01	2.314381270903010934e-01
6.963210702341137148e-01	2.341137123745820059e-01
6.979933110367892990e-01	2.367892976588629184e-01
6.996655518394648832e-01	2.394648829431438308e-01
7.013377926421404673e-01	2.421404682274247433e-01
7.030100334448160515e-01	2.448160535117057668e-01
7.046822742474916357e-01	2.474916387959866793e-01
7.063545150501672198e-01	2.501672240802675917e-01
7.080267558528428040e-01	2.528428093645485042e-01
7.096989966555183882e-01	2.555183946488295277e-01
7.113712374581939724e-01	2.581939799331104402e-01
7.130434782608695565e-01	2.608695652173913526e-01
7.147157190635451407e-01	2.635451505016722651e-01
7.163879598662207249e-01	2.662207357859531776e-01
7.180602006688963090e-01	2.688963210702342010e-01
7.197324414715718932e-01	2.715719063545151135e-01
7.214046822742474774e-01	2.742474916387960260e-01
7.230769230769230616e-01	2.769230769230769384e-01
7.247491638795986457e-01	2.795986622073579619e-01
7.264214046822742299e-01	2.822742474916388744e-01
7.280936454849498141e-01	2.849498327759197869e-01
7.297658862876253982e-01	2.876254180602006993e-01
7.314381270903009824e-01	2.903010033444816118e-01
7.331103678929765666e-01	2.929765886287626353e-01
7.347826086956521507e-01	2.956521739130435478e-01
7.364548494983277349e-01	2.983277591973244602e-01
7.381270903010033191e-01	3.010033444816053727e-01
7.397993311036789033e-01	3.036789297658863962e-01
7.414715719063544874e-01	3.063545150501673087e-01
7.431438127090300716e-01	3.090301003344482211e-01
7.448160535117056558e-01	3.117056856187291336e-01
7.464882943143812399e-01	3.143812709030100461e-01
7.481605351170568241e-01	3.170568561872910696e-01
7.498327759197324083e-01	3.197324414715719820e-01
7.515050167224079924e-01	3.224080267558528945e-01
7.531772575250835766e-01	3.250836120401338070e-01
7.548494983277591608e-01	3.277591973244148305e-01
7.565217391304347450e-01	3.304347826086957429e-01
7.581939799331103291e-01	3.331103678929766554e-01
7.598662207357859133e-01	3.357859531772575679e-01
7.615384615384614975e-01	3.384615384615384803e-01
7.632107023411370816e-01	3.411371237458195038e-01
7.648829431438126658e-01	3.438127090301004163e-01
7.665551839464882500e-01	3.464882943143813288e-01
7.682274247491638342e-01	3.491638795986622412e-01
7.698996655518394183e-01	3.518394648829431537e-01
7.715719063545150025e-01	3.545150501672241772e-01
7.732441471571906977e-01	3.571906354515050896e-01
7.749163879598661708e-01	3.598662207357860021e-01
7.765886287625418660e-01	3.625418060200669146e-01
7.782608695652173392e-01	3.652173913043479381e-01
7.799331103678930344e-01	3.678929765886288505e-01
7.816053511705685075e-01	3.705685618729097630e-01
7.832775919732442027e-01	3.732441471571906755e-01
7.849498327759196759e-01	3.759197324414715879e-01
7.866220735785953710e-01	3.785953177257526114e-01
7.882943143812708442e-01	3.812709030100335239e-01
7.899665551839465394e-01	3.839464882943144364e-01
7.916387959866220125e-01	3.866220735785953488e-01
7.933110367892977077e-01	3.892976588628763723e-01
7.949832775919731809e-01	3.919732441471572848e-01
7.966555183946488761e-01	3.946488294314381973e-01
7.983277591973243492e-01	3.973244147157191097e-01
8.000000000000000444e-01	4.000000000000000222e-01
